Classifier,Accuracy,Precision,Recall,F1,AUC_ROC,Seconds
LogReg,0.8085135106841694,0.5687197505445176,0.847852281447952,0.6807785592729916,0.9049774434127098,282.2
RF,0.8650227092592363,0.7794074301296721,0.6130619886577959,0.6862203112154452,0.917549461876136,3908.9
ET,0.8613987532400706,0.7575642122208606,0.6241580331941572,0.6843396489485032,0.9125256830830821,8310.0
KNN,0.8041828033594502,0.7734908075854096,0.2651450781077249,0.3946913569330825,0.7028262726657527,782.7
HistGB,0.8712571502242161,0.7803339640916434,0.6480055215202716,0.7079881724717335,0.9272762483206904,303.4
SGD,0.7861550052418317,0.7738642910838707,0.18798451502972124,0.286245107818596,0.5959264459353746,294.9
Ada,0.8668961689171268,0.7793288625672655,0.6240287749899195,0.6930039865011096,0.9225169620332128,12973.1
GNB,0.8345261093764087,0.6729084865234487,0.6089790552932455,0.6393070568305704,0.8900960195106882,9.4
BNB,0.7992079251061288,0.5626901084220114,0.7467164351400216,0.641740068388966,0.8759648576669091,18.7
LDA,0.8402690461073694,0.7153392286705047,0.5594951938710475,0.6278331695418854,0.8912090939456867,12.0
QDA,0.8342804044151351,0.683118201751429,0.5818141836084338,0.6283646983023625,0.8903362677992266,23.1
DT,0.8577439950942944,0.785797072746633,0.5633212367164839,0.6554808128310323,0.9053718516967697,58.9
Bag,0.8645620495919897,0.7891907249081218,0.597501008051404,0.679940645861657,0.9180039571230061,7324.9
XGB,0.8728540792163546,0.7813335367480766,0.6556578510945487,0.7129398785017136,0.9289809061680071,296.5
